Observation space: Box(0.0, 1.0, (3, 64, 64), float32)
Action space: 15
Step: 16384	Mean reward: 8.0625
Step: 32768	Mean reward: 8.125
Step: 49152	Mean reward: 8.125
Step: 65536	Mean reward: 8.53125
Step: 81920	Mean reward: 9.84375
Step: 98304	Mean reward: 11.5
Step: 114688	Mean reward: 13.0
Step: 131072	Mean reward: 16.0
Step: 147456	Mean reward: 16.65625
Step: 163840	Mean reward: 17.40625
Step: 180224	Mean reward: 20.65625
Step: 196608	Mean reward: 22.125
Step: 212992	Mean reward: 22.5
Step: 229376	Mean reward: 23.96875
Step: 245760	Mean reward: 24.71875
Step: 262144	Mean reward: 24.625
Step: 278528	Mean reward: 27.40625
Step: 294912	Mean reward: 27.9375
Step: 311296	Mean reward: 28.5
Step: 327680	Mean reward: 28.46875
Step: 344064	Mean reward: 29.21875
Step: 360448	Mean reward: 29.46875
Step: 376832	Mean reward: 31.4375
Step: 393216	Mean reward: 31.15625
Step: 409600	Mean reward: 30.8125
Step: 425984	Mean reward: 30.9375
Step: 442368	Mean reward: 32.40625
Step: 458752	Mean reward: 32.3125
Step: 475136	Mean reward: 31.46875
Step: 491520	Mean reward: 31.6875
Step: 507904	Mean reward: 31.875
Step: 524288	Mean reward: 34.46875
Step: 540672	Mean reward: 34.8125
Step: 557056	Mean reward: 32.375
Step: 573440	Mean reward: 33.875
Step: 589824	Mean reward: 32.21875
Step: 606208	Mean reward: 35.90625
Step: 622592	Mean reward: 36.6875
Step: 638976	Mean reward: 36.53125
Step: 655360	Mean reward: 36.0
Step: 671744	Mean reward: 34.6875
Step: 688128	Mean reward: 35.8125
Step: 704512	Mean reward: 37.875
Step: 720896	Mean reward: 38.65625
Step: 737280	Mean reward: 37.09375
Step: 753664	Mean reward: 36.09375
Step: 770048	Mean reward: 39.09375
Step: 786432	Mean reward: 37.46875
Step: 802816	Mean reward: 38.34375
Step: 819200	Mean reward: 39.8125
Step: 835584	Mean reward: 37.5
Step: 851968	Mean reward: 38.1875
Step: 868352	Mean reward: 37.65625
Step: 884736	Mean reward: 38.53125
Step: 901120	Mean reward: 37.59375
Step: 917504	Mean reward: 39.03125
Step: 933888	Mean reward: 37.9375
Step: 950272	Mean reward: 38.625
Step: 966656	Mean reward: 40.53125
Step: 983040	Mean reward: 39.375
Step: 999424	Mean reward: 39.5625
Step: 1015808	Mean reward: 38.1875
Step: 1032192	Mean reward: 39.65625
Step: 1048576	Mean reward: 37.5
Step: 1064960	Mean reward: 39.625
Step: 1081344	Mean reward: 39.9375
Step: 1097728	Mean reward: 40.0625
Step: 1114112	Mean reward: 40.40625
Step: 1130496	Mean reward: 38.28125
Step: 1146880	Mean reward: 40.96875
Step: 1163264	Mean reward: 41.375
Step: 1179648	Mean reward: 39.75
Step: 1196032	Mean reward: 38.40625
Step: 1212416	Mean reward: 41.0625
Step: 1228800	Mean reward: 40.875
Step: 1245184	Mean reward: 41.125
Step: 1261568	Mean reward: 40.65625
Step: 1277952	Mean reward: 39.65625
Step: 1294336	Mean reward: 42.40625
Step: 1310720	Mean reward: 40.0
Step: 1327104	Mean reward: 40.15625
Step: 1343488	Mean reward: 40.375
Step: 1359872	Mean reward: 40.09375
Step: 1376256	Mean reward: 42.34375
Step: 1392640	Mean reward: 42.65625
Step: 1409024	Mean reward: 41.0
Step: 1425408	Mean reward: 40.40625
Step: 1441792	Mean reward: 41.125
Step: 1458176	Mean reward: 42.03125
Step: 1474560	Mean reward: 41.375
Step: 1490944	Mean reward: 39.21875
Step: 1507328	Mean reward: 43.34375
Step: 1523712	Mean reward: 40.90625
Step: 1540096	Mean reward: 44.75
Step: 1556480	Mean reward: 43.125
Step: 1572864	Mean reward: 43.0
Step: 1589248	Mean reward: 40.625
Step: 1605632	Mean reward: 39.03125
Step: 1622016	Mean reward: 39.9375
Step: 1638400	Mean reward: 41.875
Step: 1654784	Mean reward: 42.3125
Step: 1671168	Mean reward: 43.28125
Step: 1687552	Mean reward: 40.625
Step: 1703936	Mean reward: 42.15625
Step: 1720320	Mean reward: 40.21875
Step: 1736704	Mean reward: 42.875
Step: 1753088	Mean reward: 41.8125
Step: 1769472	Mean reward: 41.78125
Step: 1785856	Mean reward: 41.15625
Step: 1802240	Mean reward: 40.46875
Step: 1818624	Mean reward: 42.4375
Step: 1835008	Mean reward: 42.75
Step: 1851392	Mean reward: 43.09375
Step: 1867776	Mean reward: 42.09375
Step: 1884160	Mean reward: 42.4375
Step: 1900544	Mean reward: 40.5
Step: 1916928	Mean reward: 42.1875
Step: 1933312	Mean reward: 42.59375
Step: 1949696	Mean reward: 42.125
Step: 1966080	Mean reward: 43.15625
Step: 1982464	Mean reward: 42.21875
Step: 1998848	Mean reward: 41.59375
Step: 2015232	Mean reward: 44.5
Step: 2031616	Mean reward: 41.5625
Step: 2048000	Mean reward: 45.15625
Step: 2064384	Mean reward: 42.34375
Step: 2080768	Mean reward: 43.3125
Step: 2097152	Mean reward: 42.03125
Step: 2113536	Mean reward: 42.40625
Step: 2129920	Mean reward: 44.59375
Step: 2146304	Mean reward: 44.15625
Step: 2162688	Mean reward: 44.5
